firstname;lastname;role_id;title;compensation;transport;process_date;payment_date;year;month
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/02/2020;03/02/2020;2020;1
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/02/2020;03/02/2020;2020;1
Paul;Johnson;2;Data Engineer;160.00;Car;01/02/2020;03/02/2020;2020;1
Martin;Bakker;4;Software Engineer;256.00;Bike;01/02/2020;03/02/2020;2020;1
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/02/2020;03/02/2020;2020;1
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/02/2020;03/02/2020;2020;1
Amout;van den Berg;2;Data Engineer;300.00;Train;01/02/2020;03/02/2020;2020;1
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/03/2020;03/03/2020;2020;2
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/03/2020;03/03/2020;2020;2
Paul;Johnson;2;Data Engineer;160.00;Car;01/03/2020;03/03/2020;2020;2
Martin;Bakker;4;Software Engineer;256.00;Bike;01/03/2020;03/03/2020;2020;2
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/03/2020;03/03/2020;2020;2
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/03/2020;03/03/2020;2020;2
Amout;van den Berg;2;Data Engineer;300.00;Train;01/03/2020;03/03/2020;2020;2
Matthijs;Janssen;5;Front-end Engineer;396.00;Bike;01/03/2020;03/03/2020;2020;2
Arthur;Palm;1;Back-end Engineer;60.00;Bike;01/04/2020;03/04/2020;2020;3
Rens;Garcia;5;Front-end Engineer;48.00;Car;01/04/2020;03/04/2020;2020;3
Paul;Johnson;2;Data Engineer;160.00;Car;01/04/2020;03/04/2020;2020;3
Martin;Bakker;4;Software Engineer;256.00;Bike;01/04/2020;03/04/2020;2020;3
Jeroen;Visser;3;Data Scientist;360.00;Bike;01/04/2020;03/04/2020;2020;3
Tineke;de Jong;4;Software Engineer;48.00;Bike;01/04/2020;03/04/2020;2020;3
Amout;van den Berg;2;Data Engineer;300.00;Train;01/04/2020;03/04/2020;2020;3
